config,tests_pass,div_test_pass,icache_test_pass,luts,ffs,brams,dsps,carry_cells,fmax_mhz,logic_levels,lc_used,lc_total,lc_percent,ram_used,ram_total,ram_percent,dsp_used,dsp_total,dsp_percent,io_used,io_total,io_percent,pll_used,pll_total,pll_percent,gb_used,gb_total,gb_percent,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,cache_lines,cache_words_per_line,cache_module,enable_fast_mul
enable_mul_enable_div_enable_counters_01110_l128_w2_icache_multiword_lookahead,1,1,1,3919,4971,1730,0,794,17.92,15,4622,5280,87,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,128,2,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_01110_l128_w2_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,128,2,icache_multiword_lookahead_2way,0
enable_mul_enable_div_enable_counters_01110_l128_w4_icache_multiword_lookahead,1,1,1,3910,5909,10,0,794,18.14,13,4609,5280,87,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,128,4,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_01110_l128_w4_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,128,4,icache_multiword_lookahead_2way,0
enable_mul_enable_div_enable_counters_01110_l128_w8_icache_multiword_lookahead,1,1,1,3894,6685,854,0,795,18.25,15,4592,5280,86,14,30,46,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,128,8,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_01110_l128_w8_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,128,8,icache_multiword_lookahead_2way,0
enable_mul_enable_div_enable_counters_01110_l128_w16_icache_multiword_lookahead,1,1,1,3899,6043,242,0,764,18.08,15,4594,5280,87,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,1,0,128,16,icache_multiword_lookahead,0
enable_mul_enable_div_enable_counters_01110_l128_w16_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,128,16,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w1_icache_multiword_lookahead,1,1,1,3891,5441,8,0,761,17.03,15,4589,5280,86,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,1,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w1_icache_multiword_lookahead_2way,1,1,1,4216,6391,900,0,760,17.48,14,4916,5280,93,12,30,40,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,1,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w2_icache_multiword_lookahead,1,1,1,3860,5430,16,0,761,17.75,15,4558,5280,86,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,2,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w2_icache_multiword_lookahead_2way,1,1,1,4204,6377,899,0,792,18.38,14,4900,5280,92,12,30,40,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,2,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w4_icache_multiword_lookahead,1,1,1,3866,5431,128,0,791,17.53,16,4563,5280,86,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,4,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w4_icache_multiword_lookahead_2way,1,1,1,4127,6377,900,0,760,16.96,16,4824,5280,91,12,30,40,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,4,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w8_icache_multiword_lookahead,1,1,1,3873,5432,128,0,793,18.11,14,4572,5280,86,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,8,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w8_icache_multiword_lookahead_2way,1,1,1,4125,6377,901,0,793,17.76,14,4820,5280,91,12,30,40,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,8,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w16_icache_multiword_lookahead,1,1,1,3842,5433,128,0,794,18.66,15,4542,5280,86,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,16,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l16_w16_icache_multiword_lookahead_2way,1,1,1,4182,6377,902,0,793,17.96,14,4871,5280,92,12,30,40,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,16,16,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w1_icache_multiword_lookahead,1,1,1,3903,5502,4,0,761,17.6,16,4604,5280,87,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,1,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w1_icache_multiword_lookahead_2way,1,1,1,4368,6579,948,0,792,17.69,15,5066,5280,95,12,30,40,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,1,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w2_icache_multiword_lookahead,1,1,1,3950,6285,4,0,761,17.79,15,4646,5280,87,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,2,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w2_icache_multiword_lookahead_2way,1,1,1,4274,6565,947,0,792,17.51,16,4975,5280,94,12,30,40,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,2,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w4_icache_multiword_lookahead,1,1,1,3910,6285,4,0,791,17.72,14,4609,5280,87,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,4,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w4_icache_multiword_lookahead_2way,1,1,1,4300,6565,948,0,761,18.46,15,4999,5280,94,12,30,40,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,4,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w8_icache_multiword_lookahead,1,1,1,3901,6285,4,0,793,17.64,15,4596,5280,87,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,8,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w8_icache_multiword_lookahead_2way,1,1,1,4356,6565,949,0,793,17.9,15,5054,5280,95,12,30,40,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,8,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w16_icache_multiword_lookahead,1,1,1,3909,6285,860,0,763,17.61,15,4604,5280,87,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,16,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l32_w16_icache_multiword_lookahead_2way,1,1,1,4290,4874,994,0,763,17.42,15,4979,5280,94,16,30,53,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,32,16,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w1_icache_multiword_lookahead,1,1,1,3977,4887,868,0,792,17.59,14,4682,5280,88,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,64,1,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w1_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,64,1,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w2_icache_multiword_lookahead,1,1,1,3937,5595,867,0,792,16.95,15,4639,5280,87,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,64,2,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w2_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,64,2,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w4_icache_multiword_lookahead,1,1,1,3931,5595,868,0,791,17.58,14,4630,5280,87,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,64,4,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w4_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,64,4,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w8_icache_multiword_lookahead,1,1,1,3920,5597,891,0,793,17.49,14,4620,5280,87,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,64,8,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w8_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,64,8,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w16_icache_multiword_lookahead,1,1,1,3934,5598,936,0,793,17.67,13,4628,5280,87,14,30,46,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,64,16,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l64_w16_icache_multiword_lookahead_2way,1,1,1,4544,5175,849,0,793,19.2,14,5238,5280,99,24,30,80,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,64,16,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w1_icache_multiword_lookahead,1,1,1,4168,5036,8,0,792,18.6,14,4873,5280,92,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,128,1,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w1_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,128,1,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w2_icache_multiword_lookahead,1,1,1,4109,5066,8,0,761,17.22,15,4806,5280,91,8,30,26,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,128,2,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w2_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,128,2,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w4_icache_multiword_lookahead,1,1,1,4130,4944,20,0,761,17.5,14,4826,5280,91,10,30,33,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,128,4,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w4_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,128,4,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w8_icache_multiword_lookahead,1,1,1,4073,5115,848,0,793,17.15,15,4771,5280,90,14,30,46,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,128,8,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w8_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,128,8,icache_multiword_lookahead_2way,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w16_icache_multiword_lookahead,1,1,1,4129,5290,6,0,794,18.34,14,4822,5280,91,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,1,1,1,1,0,128,16,icache_multiword_lookahead,0
barrel_shifter_enable_mul_enable_div_enable_counters_11110_l128_w16_icache_multiword_lookahead_2way,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,128,16,icache_multiword_lookahead_2way,0
