config_name,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irqtwo_stage_shift,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_module
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_enable_irq_qregs_011000111000001_icache_multiword_lookahead,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_illinsn_011000111001000_icache_multiword_lookahead,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011000111001001_icache_multiword_lookahead,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_011000111010000_icache_multiword_lookahead,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_enable_irq_qregs_011000111010001_icache_multiword_lookahead,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_011000111011000_icache_multiword_lookahead,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011000111011001_icache_multiword_lookahead,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_011100000000000_icache_multiword_lookahead,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_enable_irq_qregs_011100000000001_icache_multiword_lookahead,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_catch_illinsn_011100000001000_icache_multiword_lookahead,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_catch_illinsn_enable_irq_qregs_011100000001001_icache_multiword_lookahead,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_catch_misalign_011100000010000_icache_multiword_lookahead,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_catch_misalign_enable_irq_qregs_011100000010001_icache_multiword_lookahead,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_catch_misalign_catch_illinsn_011100000011000_icache_multiword_lookahead,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_catch_misalign_catch_illinsn_enable_irq_qregs_011100000011001_icache_multiword_lookahead,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_enable_regs_dualport_011100001000000_icache_multiword_lookahead,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_enable_regs_dualport_enable_irq_qregs_011100001000001_icache_multiword_lookahead,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_illinsn_011100001001000_icache_multiword_lookahead,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011100001001001_icache_multiword_lookahead,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_misalign_011100001010000_icache_multiword_lookahead,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_misalign_enable_irq_qregs_011100001010001_icache_multiword_lookahead,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_misalign_catch_illinsn_011100001011000_icache_multiword_lookahead,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011100001011001_icache_multiword_lookahead,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_011100010000000_icache_multiword_lookahead,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_irq_qregs_011100010000001_icache_multiword_lookahead,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_catch_illinsn_011100010001000_icache_multiword_lookahead,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_catch_illinsn_enable_irq_qregs_011100010001001_icache_multiword_lookahead,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_catch_misalign_011100010010000_icache_multiword_lookahead,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_catch_misalign_enable_irq_qregs_011100010010001_icache_multiword_lookahead,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_catch_misalign_catch_illinsn_011100010011000_icache_multiword_lookahead,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_catch_misalign_catch_illinsn_enable_irq_qregs_011100010011001_icache_multiword_lookahead,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_regs_dualport_011100011000000_icache_multiword_lookahead,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_regs_dualport_enable_irq_qregs_011100011000001_icache_multiword_lookahead,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_regs_dualport_catch_illinsn_011100011001000_icache_multiword_lookahead,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011100011001001_icache_multiword_lookahead,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_regs_dualport_catch_misalign_011100011010000_icache_multiword_lookahead,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_regs_dualport_catch_misalign_enable_irq_qregs_011100011010001_icache_multiword_lookahead,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_011100011011000_icache_multiword_lookahead,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011100011011001_icache_multiword_lookahead,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_011100100000000_icache_multiword_lookahead,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_enable_irq_qregs_011100100000001_icache_multiword_lookahead,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_catch_illinsn_011100100001000_icache_multiword_lookahead,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_catch_illinsn_enable_irq_qregs_011100100001001_icache_multiword_lookahead,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_catch_misalign_011100100010000_icache_multiword_lookahead,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_catch_misalign_enable_irq_qregs_011100100010001_icache_multiword_lookahead,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_catch_misalign_catch_illinsn_011100100011000_icache_multiword_lookahead,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_catch_misalign_catch_illinsn_enable_irq_qregs_011100100011001_icache_multiword_lookahead,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_enable_regs_dualport_011100101000000_icache_multiword_lookahead,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_enable_regs_dualport_enable_irq_qregs_011100101000001_icache_multiword_lookahead,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_enable_regs_dualport_catch_illinsn_011100101001000_icache_multiword_lookahead,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_enable_regs_dualport_catch_illinsn_enable_irq_qregs_011100101001001_icache_multiword_lookahead,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_enable_regs_dualport_catch_misalign_011100101010000_icache_multiword_lookahead,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_enable_regs_dualport_catch_misalign_enable_irq_qregs_011100101010001_icache_multiword_lookahead,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_enable_regs_dualport_catch_misalign_catch_illinsn_011100101011000_icache_multiword_lookahead,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011100101011001_icache_multiword_lookahead,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_011100110000000_icache_multiword_lookahead,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_enable_irq_qregs_011100110000001_icache_multiword_lookahead,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_catch_illinsn_011100110001000_icache_multiword_lookahead,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_catch_illinsn_enable_irq_qregs_011100110001001_icache_multiword_lookahead,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_catch_misalign_011100110010000_icache_multiword_lookahead,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_catch_misalign_enable_irq_qregs_011100110010001_icache_multiword_lookahead,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_catch_misalign_catch_illinsn_011100110011000_icache_multiword_lookahead,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_catch_misalign_catch_illinsn_enable_irq_qregs_011100110011001_icache_multiword_lookahead,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_enable_regs_dualport_011100111000000_icache_multiword_lookahead,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_enable_regs_dualport_enable_irq_qregs_011100111000001_icache_multiword_lookahead,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,icache_multiword_lookahead
enable_mul_enable_div_enable_counters_two_cycle_compare_two_cycle_alu_enable_regs_dualport_catch_illinsn_011100111001000_icache_multiword_lookahead,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,icache_multiword_lookahead
