config,tests_pass,luts,ffs,brams,dsps,carry_cells,fmax_mhz,logic_levels,lc_used,lc_total,lc_percent,ram_used,ram_total,ram_percent,dsp_used,dsp_total,dsp_percent,io_used,io_total,io_percent,pll_used,pll_total,pll_percent,gb_used,gb_total,gb_percent,barrel_shifter,enable_mul,enable_div,enable_counters,enable_compressed,enable_irqtwo_stage_shift,two_cycle_compare,two_cycle_alu,enable_regs_dualport,enable_counters64,catch_misalign,catch_illinsn,latched_mem_rdata,use_clk_divider,enable_irq_qregs,cache_module,enable_fast_mul
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_011000011011000_icache_multiword_lookahead,1,4229,4905,352,0,703,15.91,17,4957,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_alu_enable_regs_dualport_catch_misalign_catch_illinsn_enable_irq_qregs_011000011011001_icache_multiword_lookahead,1,4217,4917,352,0,703,15.59,18,4947,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_011000100000000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_enable_irq_qregs_011000100000001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_catch_illinsn_011000100001000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_catch_illinsn_enable_irq_qregs_011000100001001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_catch_misalign_011000100010000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_catch_misalign_enable_irq_qregs_011000100010001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_catch_misalign_catch_illinsn_011000100011000_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_catch_misalign_catch_illinsn_enable_irq_qregs_011000100011001_icache_multiword_lookahead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_011000101000000_icache_multiword_lookahead,1,4140,5566,22,0,718,17.12,15,4894,5280,92,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,icache_multiword_lookahead,0
enable_mul_enable_div_two_cycle_compare_enable_regs_dualport_enable_irq_qregs_011000101000001_icache_multiword_lookahead,1,4163,6509,242,0,719,15.85,16,4912,5280,93,22,30,73,0,8,0,24,96,25,1,1,100,8,8,100,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,icache_multiword_lookahead,0
